abbreviation,total_staff_cases,total_staff_deaths,staff_partial_dose,staff_full_dose,total_prisoner_cases,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,staff_pop,prisoner_pop
AL,1039,3,662,0,1611,64,871,0,6259,17725
AK,0,0,0,0,2396,5,2518,1598,0,4559
AZ,2742,0,0,0,12215,53,0,0,8700,37731
AR,0,4,1421,1091,11245,52,82,0,4045,14812
CA,0,0,27030,24811,0,218,62730,43760,46000,92350
CO,1633,0,2906,0,8800,29,7556,0,6267,13687
CT,1634,0,2697,0,4380,19,4362,0,6170,9111
DE,0,1,1268,911,2030,13,1819,151,2530,4168
FL,5782,0,0,0,17994,214,0,0,22218,79523
GA,1703,4,0,0,3739,93,0,0,8399,47703
HI,225,0,0,0,1968,9,0,0,0,4171
ID,472,0,224,143,4122,6,529,204,1999,7343
IL,4342,0,0,0,10853,0,0,0,11781,29225
IN,1500,4,0,0,3480,51,0,0,6000,23726
IA,701,2,1267,1249,4839,19,206,206,2470,7542
KS,1212,6,1453,0,6098,16,5822,0,3228,8574
KY,1091,5,0,0,7899,48,0,0,0,9854
LA,926,6,0,0,3202,36,0,0,4857,14134
ME,59,0,1493,802,168,1,0,284,1131,1712
MD,2198,4,4011,3968,4357,26,1474,772,8039,18426
MA,930,0,2953,2804,3021,21,4620,4279,4679,6570
MI,4039,5,0,0,26156,140,12489,15576,11963,33617
MN,1066,0,740,1670,4064,12,442,3739,1987,7427
MS,0,0,623,360,1397,23,6030,14,591,15444
MO,2576,6,0,0,5628,48,5609,3303,11000,23106
MT,282,0,0,0,1135,6,0,0,1284,3620
NE,557,0,0,0,982,6,0,0,2091,5275
NV,978,3,0,0,4523,53,0,0,2800,11134
NH,176,0,491,254,458,3,385,339,823,2136
NJ,2255,0,0,0,4684,53,0,0,8012,12800
NM,951,0,1632,1569,2972,28,1117,569,1893,5847
NY,5021,8,7538,7323,6397,35,3789,1750,19123,34446
NC,3812,12,1751,4623,10006,53,12158,2884,7774,29321
ND,284,1,0,0,633,1,935,942,282,1211
OH,4810,10,0,0,9701,135,0,0,12192,44027
OK,1044,0,0,0,7396,55,0,0,4290,21718
OR,842,0,0,0,3580,42,9156,7200,4644,12753
RI,412,1,0,0,1200,2,0,0,1339,2076
SC,1094,2,0,0,3240,40,729,729,4825,15674
SD,191,0,0,0,2348,7,0,0,599,3159
TN,1501,5,0,0,6639,42,0,0,5179,19453
TX,11458,45,0,0,34464,187,0,0,36073,120873
UT,399,0,0,0,3450,16,261,162,0,5485
VT,100,0,0,0,457,0,0,0,1001,1292
VA,2511,5,0,4807,9012,56,16684,14111,8895,24235
WA,1158,2,0,0,6192,14,0,0,8806,14882
WV,476,1,834,780,1593,9,0,1011,1506,3977
WI,2519,0,0,0,10929,26,1382,0,4640,20033
WY,296,0,0,0,865,0,0,0,1029,2134
US,6773,4,0,17286,0,0,0,29658,36607,143350